CO2 concentration [%] of flush gas,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Process temperature [Celsius],37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixer on time [sec],300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixer off time [sec],120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixer speed adjustment [%],70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminate overestimation,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow Cell nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,
Name,inoculum 1,inoculum 2,inoculum 3,cellulose 1,cellulose 2,cellulose 3,sample 1.1,sample 1.2,sample 1.3,sample 2.1,sample 2.2,sample 2.3,sample3.1,sample 3.2,sample 3.3,,,,,,,,,,,,,,,
Substrate VS/COD amount [g],0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,
Inoculum VS/COD amount [g],0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,,,,,,,,,,,,,,,
Type of unit [VS/COD],VS,VS,VS,VS,VS,VS,VS,VS,VS,VS,VS,VS,VS,VS,VS,,,,,,,,,,,,,,,
Headspace volume [ml],150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,,,,,,,,,,,,,,,
Assumed CH4 content [%],60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,inoculum 1 Volume [Nml],inoculum 2 Volume [Nml],inoculum 3 Volume [Nml],cellulose 1 Volume [Nml],cellulose 2 Volume [Nml],cellulose 3 Volume [Nml],sample 1.1 Volume [Nml],sample 1.2 Volume [Nml],sample 1.3 Volume [Nml],sample 2.1 Volume [Nml],sample 2.2 Volume [Nml],sample 2.3 Volume [Nml],sample3.1 Volume [Nml],sample 3.2 Volume [Nml],sample 3.3 Volume [Nml],inoculum 1 Flow [Nml/day],inoculum 2 Flow [Nml/day],inoculum 3 Flow [Nml/day],cellulose 1 Flow [Nml/day],cellulose 2 Flow [Nml/day],cellulose 3 Flow [Nml/day],sample 1.1 Flow [Nml/day],sample 1.2 Flow [Nml/day],sample 1.3 Flow [Nml/day],sample 2.1 Flow [Nml/day],sample 2.2 Flow [Nml/day],sample 2.3 Flow [Nml/day],sample3.1 Flow [Nml/day],sample 3.2 Flow [Nml/day],sample 3.3 Flow [Nml/day]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,74.1,80.3,72.6,93.3,87.3,85.4,538.5,550.8,547.8,557,593.9,572,505.2,518.7,518.4,74.1,80.3,72.6,93.3,87.3,85.4,538.5,550.8,547.8,557,593.9,572,505.2,518.7,518.4
2,141.9,155.6,142.2,332.6,309.6,310.3,1038.9,1038,1054,1160.9,1155.2,1126.6,1032.7,1017.9,1073.2,67.8,75.3,69.6,239.2,222.2,224.9,500.4,487.2,506.2,603.8,561.3,554.6,527.5,499.2,554.8
3,190.5,211.8,193.3,724.7,698.3,693.6,1230.6,1217.3,1226.6,1401.7,1357.4,1312.1,1261.6,1216.8,1332.2,48.7,56.1,51.1,392.2,388.7,383.3,191.7,179.3,172.6,240.9,202.2,185.5,228.9,198.9,259
4,231.4,260.4,236.5,1123.1,1100.9,1088.2,1332.1,1313.7,1323.7,1522.1,1473,1418.2,1389.4,1337.9,1463.3,40.9,48.6,43.1,398.3,402.6,394.6,101.5,96.4,97.2,120.3,115.6,106,127.8,121,131.1
5,267.4,301.9,273.4,1273.7,1234,1230.3,1397.5,1378.9,1392,1597.8,1555.5,1497.2,1476.7,1427.3,1540.1,35.9,41.5,37,150.7,133,142,65.4,65.2,68.2,75.8,82.5,79,87.2,89.4,76.8
6,297.2,337.5,306.5,1352.6,1300.6,1301.1,1446.8,1433.8,1458,1662.8,1629.4,1571.4,1554.4,1506.1,1602.4,29.8,35.6,33.1,78.9,66.6,70.9,49.4,54.9,66,65,74,74.3,77.7,78.8,62.3
7,324.9,369.3,335.1,1410,1349.1,1351.5,1498,1494,1503.1,1730.2,1686.8,1619.2,1606.5,1559.1,1669,27.7,31.8,28.6,57.4,48.5,50.4,51.1,60.2,45.1,67.4,57.4,47.8,52.2,53.1,66.6
