bottle.num,bottle.id,inoc.only,pos.control,inoc.mass,substrate.mass.vs,sample.group,plot.label,plot.color,dw,loi
1,inoc 1,1,0,9.899457,NA,Inoculum,Inoculum,#1f78b4,3.73,58.713
2,inoc 2,1,0,9.867921,NA,Inoculum,Inoculum,#1f78b4,3.73,58.713
3,inoc 3,1,0,9.938439,NA,Inoculum,Inoculum,#1f78b4,3.73,58.713
4,cellulose 1,0,1,9.998883,3.071,Cellulose,Cellulose,#33a02c,94.5,100
5,cellulose 2,0,1,9.85938,3.052,Cellulose,Cellulose,#33a02c,94.5,100
6,cellulose 3,0,1,9.812514,3.052,Cellulose,Cellulose,#33a02c,94.5,100
7,sample 1.1,0,0,8.850447,2.889,Sample 1,Sample 1,#e31a1c,8.7,74.9
8,sample 1.2,0,0,8.911548,2.84,Sample 1,Sample 1,#e31a1c,8.7,74.9
9,sample 1.3,0,0,8.828328,2.961,Sample 1,Sample 1,#e31a1c,8.7,74.9
10,sample 2.1,0,0,9.216834,3.196,Sample 2,Sample 2,#ff7f00,11.6,93.5
11,sample 2.2,0,0,9.445689,3.074,Sample 2,Sample 2,#ff7f00,11.6,93.5
12,sample 2.3,0,0,9.230631,3.089,Sample 2,Sample 2,#ff7f00,11.6,93.5
13,sample3.1,0,0,9.02937,3.084,Sample 3,Sample 3,#cab2d6,8.4,93.5
14,sample 3.2,0,0,9.000024,2.989,Sample 3,Sample 3,#cab2d6,8.4,93.5
15,sample 3.3,0,0,9.00309,3.222,Sample 3,Sample 3,#cab2d6,8.4,93.5
